,Chart Date,Title,Artist,Number of Weeks In Top 100
328,2013-10-05,Wrecking Ball,Miley Cyrus,5
329,2013-09-28,Wrecking Ball,Miley Cyrus,4
330,2013-09-21,Roar,Katy Perry,5
331,2013-09-14,Roar,Katy Perry,4
332,2013-09-07,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,19
333,2013-08-31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,18
334,2013-08-24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,17
335,2013-08-17,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,16
336,2013-08-10,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,15
337,2013-08-03,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14
338,2013-07-27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,13
339,2013-07-20,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12
340,2013-07-13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,11
341,2013-07-06,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,10
342,2013-06-29,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,9
343,2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,8
344,2013-06-15,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,17
345,2013-06-08,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,16
346,2013-06-01,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,15
347,2013-05-25,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,14
348,2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,13
349,2014-03-22,Happy,Pharrell Williams,10
350,2014-03-15,Happy,Pharrell Williams,9
351,2014-03-08,Happy,Pharrell Williams,8
352,2014-03-22,Happy,Pharrell Williams,10
353,2014-03-15,Happy,Pharrell Williams,9
354,2014-03-08,Happy,Pharrell Williams,8
355,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
356,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
357,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
358,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
359,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
360,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
361,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
362,2014-01-11,The Monster,Eminem Featuring Rihanna,9
363,2014-01-04,The Monster,Eminem Featuring Rihanna,8
364,2013-12-28,The Monster,Eminem Featuring Rihanna,7
365,2013-12-21,The Monster,Eminem Featuring Rihanna,6
366,2013-12-14,Wrecking Ball,Miley Cyrus,15
367,2013-12-07,Royals,Lorde,21
368,2013-11-30,Royals,Lorde,20
369,2013-11-23,Royals,Lorde,19
370,2013-11-16,Royals,Lorde,18
371,2013-11-09,Royals,Lorde,17
372,2013-11-02,Royals,Lorde,16
373,2013-10-26,Royals,Lorde,15
374,2013-10-19,Royals,Lorde,14
375,2013-10-12,Royals,Lorde,13
376,2013-10-05,Wrecking Ball,Miley Cyrus,5
377,2013-09-28,Wrecking Ball,Miley Cyrus,4
378,2013-09-21,Roar,Katy Perry,5
379,2014-03-22,Happy,Pharrell Williams,10
380,2014-03-15,Happy,Pharrell Williams,9
381,2014-03-08,Happy,Pharrell Williams,8
382,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
383,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
384,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
385,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
386,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
387,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
388,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
389,2014-01-11,The Monster,Eminem Featuring Rihanna,9
390,2014-01-04,The Monster,Eminem Featuring Rihanna,8
391,2013-12-28,The Monster,Eminem Featuring Rihanna,7
392,2013-12-21,The Monster,Eminem Featuring Rihanna,6
393,2013-12-14,Wrecking Ball,Miley Cyrus,15
394,2013-12-07,Royals,Lorde,21
395,2013-11-30,Royals,Lorde,20
396,2014-03-22,Happy,Pharrell Williams,10
397,2014-03-15,Happy,Pharrell Williams,9
398,2014-03-08,Happy,Pharrell Williams,8
399,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
400,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
401,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
402,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
403,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
404,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
405,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
406,2014-01-11,The Monster,Eminem Featuring Rihanna,9
407,2014-01-04,The Monster,Eminem Featuring Rihanna,8
408,2013-12-28,The Monster,Eminem Featuring Rihanna,7
409,2013-12-21,The Monster,Eminem Featuring Rihanna,6
410,2014-03-22,Happy,Pharrell Williams,10
411,2014-03-15,Happy,Pharrell Williams,9
412,2014-03-08,Happy,Pharrell Williams,8
413,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
414,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
415,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
416,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
417,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
418,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
419,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
420,2014-01-11,The Monster,Eminem Featuring Rihanna,9
421,2014-01-04,The Monster,Eminem Featuring Rihanna,8
422,2013-12-28,The Monster,Eminem Featuring Rihanna,7
423,2013-12-21,The Monster,Eminem Featuring Rihanna,6
424,2013-12-14,Wrecking Ball,Miley Cyrus,15
425,2013-12-07,Royals,Lorde,21
426,2013-11-30,Royals,Lorde,20
427,2013-11-23,Royals,Lorde,19
428,2013-11-16,Royals,Lorde,18
429,2013-11-09,Royals,Lorde,17
430,2013-11-02,Royals,Lorde,16
431,2013-10-26,Royals,Lorde,15
432,2013-10-19,Royals,Lorde,14
433,2013-10-12,Royals,Lorde,13
434,2013-10-05,Wrecking Ball,Miley Cyrus,5
435,2013-09-28,Wrecking Ball,Miley Cyrus,4
436,2013-09-21,Roar,Katy Perry,5
437,2013-09-14,Roar,Katy Perry,4
438,2013-09-07,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,19
439,2013-08-31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,18
440,2013-08-24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,17
441,2013-08-17,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,16
442,2013-08-10,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,15
443,2013-08-03,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14
444,2013-07-27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,13
445,2013-07-20,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12
446,2013-07-13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,11
447,2013-07-06,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,10
448,2013-06-29,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,9
449,2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,8
450,2013-06-15,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,17
451,2013-06-08,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,16
452,2013-06-01,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,15
453,2013-05-25,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,14
454,2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,13
455,2013-05-11,Just Give Me A Reason,P!nk Featuring Nate Ruess,11
456,2013-05-04,Just Give Me A Reason,P!nk Featuring Nate Ruess,10
457,2013-04-27,Just Give Me A Reason,P!nk Featuring Nate Ruess,9
