,Chart Date,Title,Artist,Number of Weeks In Top 100
177,2016-08-27,Cheap Thrills,Sia Featuring Sean Paul,26
178,2016-08-20,Cheap Thrills,Sia Featuring Sean Paul,25
179,2016-08-13,Cheap Thrills,Sia Featuring Sean Paul,24
180,2016-08-06,Cheap Thrills,Sia Featuring Sean Paul,23
181,2016-07-30,One Dance,Drake Featuring WizKid & Kyla,15
182,2016-07-23,One Dance,Drake Featuring WizKid & Kyla,14
183,2016-07-16,One Dance,Drake Featuring WizKid & Kyla,13
184,2016-07-09,One Dance,Drake Featuring WizKid & Kyla,12
185,2016-07-02,One Dance,Drake Featuring WizKid & Kyla,11
186,2016-06-25,One Dance,Drake Featuring WizKid & Kyla,10
187,2016-06-18,One Dance,Drake Featuring WizKid & Kyla,9
188,2016-06-11,One Dance,Drake Featuring WizKid & Kyla,8
189,2016-06-04,One Dance,Drake Featuring WizKid & Kyla,7
190,2016-05-28,Can't Stop The Feeling!,Justin Timberlake,1
191,2016-05-21,One Dance,Drake Featuring WizKid & Kyla,5
192,2016-05-14,Panda,Desiigner,10
193,2016-05-07,Panda,Desiigner,9
194,2016-04-30,Work,Rihanna Featuring Drake,12
195,2016-04-23,Work,Rihanna Featuring Drake,11
196,2016-04-16,Work,Rihanna Featuring Drake,10
197,2016-04-09,Work,Rihanna Featuring Drake,9
198,2016-04-02,Work,Rihanna Featuring Drake,8
199,2016-03-26,Work,Rihanna Featuring Drake,7
200,2016-03-19,Work,Rihanna Featuring Drake,6
201,2016-03-12,Work,Rihanna Featuring Drake,5
202,2016-03-05,Work,Rihanna Featuring Drake,4
203,2016-02-27,Love Yourself,Justin Bieber,13
204,2016-02-20,Pillowtalk,Zayn,1
205,2016-02-13,Love Yourself,Justin Bieber,11
206,2016-02-06,Sorry,Justin Bieber,13
207,2016-01-30,Sorry,Justin Bieber,12
208,2016-01-23,Sorry,Justin Bieber,11
209,2016-01-16,Hello,Adele,10
210,2016-01-09,Hello,Adele,9
211,2016-01-02,Hello,Adele,8
212,2015-12-26,Hello,Adele,7
213,2015-12-19,Hello,Adele,6
214,2015-12-12,Hello,Adele,5
215,2015-12-05,Hello,Adele,4
216,2015-11-28,Hello,Adele,3
217,2015-11-21,Hello,Adele,2
218,2015-11-14,Hello,Adele,1
219,2015-11-07,The Hills,The Weeknd,22
220,2015-10-31,The Hills,The Weeknd,21
221,2015-10-24,The Hills,The Weeknd,20
222,2015-10-17,The Hills,The Weeknd,19
223,2015-10-10,The Hills,The Weeknd,18
224,2015-10-03,The Hills,The Weeknd,17
225,2015-09-26,Can't Feel My Face,The Weeknd,14
226,2015-09-19,What Do You Mean?,Justin Bieber,1
227,2015-09-12,Can't Feel My Face,The Weeknd,12
228,2015-09-05,Cheerleader,OMI,18
229,2015-08-29,Cheerleader,OMI,17
230,2015-08-22,Can't Feel My Face,The Weeknd,9
231,2015-08-15,Cheerleader,OMI,15
232,2015-08-08,Cheerleader,OMI,14
233,2015-08-01,Cheerleader,OMI,13
234,2015-07-25,Cheerleader,OMI,12
235,2015-07-18,See You Again,Wiz Khalifa Featuring Charlie Puth,17
236,2015-07-11,See You Again,Wiz Khalifa Featuring Charlie Puth,16
237,2015-07-04,See You Again,Wiz Khalifa Featuring Charlie Puth,15
238,2015-06-27,See You Again,Wiz Khalifa Featuring Charlie Puth,14
239,2015-06-20,See You Again,Wiz Khalifa Featuring Charlie Puth,13
240,2015-06-13,See You Again,Wiz Khalifa Featuring Charlie Puth,12
241,2015-06-06,Bad Blood,Taylor Swift Featuring Kendrick Lamar,4
242,2015-05-30,See You Again,Wiz Khalifa Featuring Charlie Puth,10
243,2015-05-23,See You Again,Wiz Khalifa Featuring Charlie Puth,9
244,2015-05-16,See You Again,Wiz Khalifa Featuring Charlie Puth,8
245,2015-05-09,See You Again,Wiz Khalifa Featuring Charlie Puth,7
246,2015-05-02,See You Again,Wiz Khalifa Featuring Charlie Puth,6
247,2015-04-25,See You Again,Wiz Khalifa Featuring Charlie Puth,5
248,2015-04-18,Uptown Funk!,Mark Ronson Featuring Bruno Mars,21
249,2015-04-11,Uptown Funk!,Mark Ronson Featuring Bruno Mars,20
250,2015-04-04,Uptown Funk!,Mark Ronson Featuring Bruno Mars,19
